/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/trl/trainer/ppo_config.py:141: UserWarning: The `optimize_cuda_cache` arguement will be deprecated soon, please use `optimize_device_cache` instead.
  warnings.warn(
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/transformers/models/auto/auto_factory.py:472: FutureWarning: The `use_auth_token` argument is deprecated and will be removed in v5 of Transformers. Please use `token` instead.
  warnings.warn(
Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:13<00:00,  6.74s/it]
Map: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████| 1700/1700 [00:00<00:00, 7070.36 examples/s]
  0%|                                                                                                                             | 0/636 [00:00<?, ?it/s]You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/bitsandbytes/autograd/_functions.py:322: UserWarning: MatMul8bitLt: inputs will be cast from torch.float32 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/bitsandbytes/autograd/_functions.py:322: UserWarning: MatMul8bitLt: inputs will be cast from torch.bfloat16 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
{'loss': 2.1702, 'learning_rate': 1.4077830188679245e-05, 'epoch': 0.0}                                                                                   
{'loss': 2.349, 'learning_rate': 1.4055660377358491e-05, 'epoch': 0.01}                                                                                   
{'loss': 2.0553, 'learning_rate': 1.4033490566037736e-05, 'epoch': 0.01}                                                                                  
{'loss': 1.8714, 'learning_rate': 1.4011320754716982e-05, 'epoch': 0.02}                                                                                  
{'loss': 2.1839, 'learning_rate': 1.3989150943396226e-05, 'epoch': 0.02}                                                                                  
{'loss': 2.0233, 'learning_rate': 1.3966981132075472e-05, 'epoch': 0.03}                                                                                  
{'loss': 2.1044, 'learning_rate': 1.3944811320754717e-05, 'epoch': 0.03}                                                                                  
{'loss': 2.5155, 'learning_rate': 1.3922641509433963e-05, 'epoch': 0.04}                                                                                  
{'loss': 2.0312, 'learning_rate': 1.3900471698113207e-05, 'epoch': 0.04}                                                                                  
{'loss': 2.1738, 'learning_rate': 1.3878301886792454e-05, 'epoch': 0.05}                                                                                  
{'loss': 2.3694, 'learning_rate': 1.3856132075471698e-05, 'epoch': 0.05}                                                                                  
{'loss': 2.0513, 'learning_rate': 1.3833962264150944e-05, 'epoch': 0.06}                                                                                  
{'loss': 2.1115, 'learning_rate': 1.3811792452830189e-05, 'epoch': 0.06}                                                                                  
{'loss': 2.2279, 'learning_rate': 1.3789622641509435e-05, 'epoch': 0.07}                                                                                  
{'loss': 1.8889, 'learning_rate': 1.376745283018868e-05, 'epoch': 0.07}                                                                                   
{'loss': 1.9889, 'learning_rate': 1.3745283018867925e-05, 'epoch': 0.08}                                                                                  
{'loss': 2.1479, 'learning_rate': 1.372311320754717e-05, 'epoch': 0.08}                                                                                   
{'loss': 1.9317, 'learning_rate': 1.3700943396226416e-05, 'epoch': 0.08}                                                                                  
{'loss': 2.147, 'learning_rate': 1.367877358490566e-05, 'epoch': 0.09}                                                                                    
{'loss': 2.2481, 'learning_rate': 1.3656603773584907e-05, 'epoch': 0.09}                                                                                  
{'loss': 2.0026, 'learning_rate': 1.3634433962264151e-05, 'epoch': 0.1}                                                                                   
{'loss': 2.1692, 'learning_rate': 1.3612264150943397e-05, 'epoch': 0.1}                                                                                   
{'loss': 1.7582, 'learning_rate': 1.3590094339622642e-05, 'epoch': 0.11}                                                                                  
{'loss': 2.5683, 'learning_rate': 1.3567924528301888e-05, 'epoch': 0.11}                                                                                  
{'loss': 2.4671, 'learning_rate': 1.3545754716981132e-05, 'epoch': 0.12}                                                                                  
{'loss': 2.3468, 'learning_rate': 1.3523584905660378e-05, 'epoch': 0.12}                                                                                  
{'loss': 2.154, 'learning_rate': 1.3501415094339623e-05, 'epoch': 0.13}                                                                                   
{'loss': 2.4585, 'learning_rate': 1.3479245283018869e-05, 'epoch': 0.13}                                                                                  
{'loss': 2.2838, 'learning_rate': 1.3457075471698113e-05, 'epoch': 0.14}                                                                                  
{'loss': 1.7322, 'learning_rate': 1.343490566037736e-05, 'epoch': 0.14}                                                                                   
{'loss': 1.6083, 'learning_rate': 1.3412735849056604e-05, 'epoch': 0.15}                                                                                  
{'loss': 1.8766, 'learning_rate': 1.339056603773585e-05, 'epoch': 0.15}                                                                                   
{'loss': 2.1892, 'learning_rate': 1.3368396226415095e-05, 'epoch': 0.16}                                                                                  
{'loss': 1.9762, 'learning_rate': 1.334622641509434e-05, 'epoch': 0.16}                                                                                   
{'loss': 1.8365, 'learning_rate': 1.3324056603773585e-05, 'epoch': 0.16}                                                                                  
{'loss': 1.7717, 'learning_rate': 1.3301886792452831e-05, 'epoch': 0.17}                                                                                  
{'loss': 2.4011, 'learning_rate': 1.3279716981132076e-05, 'epoch': 0.17}                                                                                  
{'loss': 1.6928, 'learning_rate': 1.3257547169811322e-05, 'epoch': 0.18}                                                                                  
{'loss': 1.8906, 'learning_rate': 1.3235377358490567e-05, 'epoch': 0.18}                                                                                  
{'loss': 2.1955, 'learning_rate': 1.3213207547169813e-05, 'epoch': 0.19}                                                                                  
{'loss': 1.797, 'learning_rate': 1.3191037735849057e-05, 'epoch': 0.19}                                                                                   
{'loss': 1.84, 'learning_rate': 1.3168867924528303e-05, 'epoch': 0.2}                                                                                     
{'loss': 2.3285, 'learning_rate': 1.3146698113207548e-05, 'epoch': 0.2}                                                                                   
{'loss': 2.017, 'learning_rate': 1.3124528301886794e-05, 'epoch': 0.21}                                                                                   
{'loss': 1.787, 'learning_rate': 1.3102358490566038e-05, 'epoch': 0.21}                                                                                   
{'loss': 2.3206, 'learning_rate': 1.3080188679245284e-05, 'epoch': 0.22}                                                                                  
{'loss': 1.9219, 'learning_rate': 1.3058018867924529e-05, 'epoch': 0.22}                                                                                  
{'loss': 1.5287, 'learning_rate': 1.3035849056603775e-05, 'epoch': 0.23}                                                                                  
{'loss': 1.9443, 'learning_rate': 1.301367924528302e-05, 'epoch': 0.23}                                                                                   
{'loss': 1.8414, 'learning_rate': 1.2991509433962266e-05, 'epoch': 0.24}                                                                                  
{'loss': 1.7085, 'learning_rate': 1.296933962264151e-05, 'epoch': 0.24}                                                                                   
{'loss': 1.7435, 'learning_rate': 1.2947169811320755e-05, 'epoch': 0.24}                                                                                  
{'loss': 2.0133, 'learning_rate': 1.2925e-05, 'epoch': 0.25}                                                                                              
{'loss': 1.7627, 'learning_rate': 1.2902830188679245e-05, 'epoch': 0.25}                                                                                  
{'loss': 1.8222, 'learning_rate': 1.2880660377358491e-05, 'epoch': 0.26}                                                                                  
{'loss': 1.4478, 'learning_rate': 1.2858490566037736e-05, 'epoch': 0.26}                                                                                  
{'loss': 2.0336, 'learning_rate': 1.283632075471698e-05, 'epoch': 0.27}                                                                                   
{'loss': 2.1023, 'learning_rate': 1.2814150943396226e-05, 'epoch': 0.27}                                                                                  
{'loss': 1.5596, 'learning_rate': 1.2791981132075471e-05, 'epoch': 0.28}                                                                                  
{'loss': 2.0258, 'learning_rate': 1.2769811320754717e-05, 'epoch': 0.28}                                                                                  
{'loss': 1.8695, 'learning_rate': 1.2747641509433961e-05, 'epoch': 0.29}                                                                                  
{'loss': 1.7546, 'learning_rate': 1.2725471698113208e-05, 'epoch': 0.29}                                                                                  
{'loss': 1.5093, 'learning_rate': 1.2703301886792452e-05, 'epoch': 0.3}                                                                                   
{'loss': 1.8626, 'learning_rate': 1.2681132075471698e-05, 'epoch': 0.3}                                                                                   
{'loss': 1.6638, 'learning_rate': 1.2658962264150943e-05, 'epoch': 0.31}                                                                                  
{'loss': 1.6554, 'learning_rate': 1.2636792452830189e-05, 'epoch': 0.31}                                                                                  
{'loss': 1.608, 'learning_rate': 1.2614622641509433e-05, 'epoch': 0.32}                                                                                   
{'loss': 1.6949, 'learning_rate': 1.259245283018868e-05, 'epoch': 0.32}                                                                                   
{'loss': 1.7165, 'learning_rate': 1.2570283018867924e-05, 'epoch': 0.32}                                                                                  
{'loss': 1.7627, 'learning_rate': 1.254811320754717e-05, 'epoch': 0.33}                                                                                   
{'loss': 1.81, 'learning_rate': 1.2525943396226415e-05, 'epoch': 0.33}                                                                                    
{'loss': 1.6612, 'learning_rate': 1.250377358490566e-05, 'epoch': 0.34}                                                                                   
{'loss': 1.5556, 'learning_rate': 1.2481603773584905e-05, 'epoch': 0.34}                                                                                  
{'loss': 1.6015, 'learning_rate': 1.2459433962264151e-05, 'epoch': 0.35}                                                                                  
{'loss': 1.7473, 'learning_rate': 1.2437264150943396e-05, 'epoch': 0.35}                                                                                  
